Time,Magnitude
6.75000000000008e-05,0
6.76000000000008e-05,0
6.77000000000008e-05,0
6.780000000000081e-05,0
6.790000000000081e-05,0
6.800000000000081e-05,1
6.810000000000082e-05,1
6.820000000000082e-05,1
6.830000000000082e-05,1
6.840000000000082e-05,1
6.850000000000082e-05,0
6.860000000000083e-05,0
6.870000000000083e-05,0
6.880000000000083e-05,0
6.890000000000083e-05,0
6.900000000000084e-05,1
6.910000000000084e-05,1
6.920000000000084e-05,1
6.930000000000084e-05,1
6.940000000000085e-05,1
6.950000000000085e-05,0
6.960000000000085e-05,0
6.970000000000085e-05,0
6.980000000000086e-05,0
6.990000000000086e-05,0
7.000000000000086e-05,1
7.010000000000086e-05,1
7.020000000000087e-05,1
7.030000000000087e-05,1
7.040000000000087e-05,1
7.050000000000087e-05,0
7.060000000000088e-05,0
7.070000000000088e-05,0
7.080000000000088e-05,0
7.090000000000088e-05,0
7.100000000000089e-05,1
7.110000000000089e-05,1
7.120000000000089e-05,1
7.130000000000089e-05,1
7.14000000000009e-05,1
7.15000000000009e-05,0
7.16000000000009e-05,0
7.17000000000009e-05,0
7.18000000000009e-05,0
7.190000000000091e-05,0
7.200000000000091e-05,1
7.210000000000091e-05,1
7.220000000000091e-05,1
7.230000000000092e-05,1
7.240000000000092e-05,1
7.250000000000092e-05,0
7.260000000000092e-05,0
7.270000000000093e-05,0
7.280000000000093e-05,0
7.290000000000093e-05,0
7.300000000000093e-05,1
7.310000000000094e-05,1
7.320000000000094e-05,1
7.330000000000094e-05,1
7.340000000000094e-05,1
7.350000000000095e-05,0
7.360000000000095e-05,0
7.370000000000095e-05,0
7.380000000000095e-05,0
7.390000000000096e-05,0
7.400000000000096e-05,1
7.410000000000096e-05,1
7.420000000000096e-05,1
7.430000000000097e-05,1
7.440000000000097e-05,1
7.450000000000097e-05,0
7.460000000000097e-05,0
7.470000000000098e-05,0
7.480000000000098e-05,0
7.490000000000098e-05,0
7.500000000000098e-05,1
7.510000000000099e-05,1
7.520000000000099e-05,1
7.530000000000099e-05,1
7.540000000000099e-05,1
7.5500000000001e-05,0
7.5600000000001e-05,0
7.5700000000001e-05,0
7.5800000000001e-05,0
7.5900000000001e-05,0
7.600000000000101e-05,1
7.610000000000101e-05,1
7.620000000000101e-05,1
7.630000000000101e-05,1
7.640000000000102e-05,1
7.650000000000102e-05,0
7.660000000000102e-05,0
7.670000000000102e-05,0
7.680000000000103e-05,0
7.690000000000103e-05,0
7.700000000000103e-05,1
7.710000000000103e-05,1
7.720000000000104e-05,1
7.730000000000104e-05,1
7.740000000000104e-05,1
7.750000000000104e-05,0
7.760000000000105e-05,0
7.770000000000105e-05,0
7.780000000000105e-05,0
7.790000000000105e-05,0
7.800000000000106e-05,1
7.810000000000106e-05,1
7.820000000000106e-05,1
7.830000000000106e-05,1
7.840000000000107e-05,1
7.850000000000107e-05,0
7.860000000000107e-05,0
7.870000000000107e-05,0
7.880000000000108e-05,0
7.890000000000108e-05,0
7.900000000000108e-05,1
7.910000000000108e-05,1
7.920000000000108e-05,1
7.930000000000109e-05,1
7.940000000000109e-05,1
7.950000000000109e-05,0
7.96000000000011e-05,0
7.97000000000011e-05,0
7.98000000000011e-05,0
7.99000000000011e-05,0
8.00000000000011e-05,1
8.01000000000011e-05,1
8.020000000000111e-05,1
8.030000000000111e-05,1
8.040000000000111e-05,1
8.050000000000112e-05,0
8.060000000000112e-05,0
8.070000000000112e-05,0
8.080000000000112e-05,0
8.090000000000113e-05,0
8.100000000000113e-05,1
8.110000000000113e-05,1
8.120000000000113e-05,1
8.130000000000114e-05,1
8.140000000000114e-05,1
8.150000000000114e-05,0
8.160000000000114e-05,0
8.170000000000115e-05,0
8.180000000000115e-05,0
8.190000000000115e-05,0
8.200000000000115e-05,1
8.210000000000116e-05,1
8.220000000000116e-05,1
8.230000000000116e-05,1
8.240000000000116e-05,1
8.250000000000117e-05,0
8.260000000000117e-05,0
8.270000000000117e-05,0
8.280000000000117e-05,0
8.290000000000117e-05,0
8.300000000000118e-05,1
8.310000000000118e-05,1
8.320000000000118e-05,1
8.330000000000118e-05,1
8.340000000000119e-05,1
8.350000000000119e-05,0
8.360000000000119e-05,0
8.37000000000012e-05,0
8.38000000000012e-05,0
8.39000000000012e-05,0
8.40000000000012e-05,1
8.41000000000012e-05,1
8.42000000000012e-05,1
8.430000000000121e-05,1
8.440000000000121e-05,1
8.450000000000121e-05,0
8.460000000000122e-05,0
8.470000000000122e-05,0
8.480000000000122e-05,0
8.490000000000122e-05,0
8.500000000000123e-05,1
8.510000000000123e-05,1
8.520000000000123e-05,1
8.530000000000123e-05,1
8.540000000000124e-05,1
8.550000000000124e-05,0
8.560000000000124e-05,0
8.570000000000124e-05,0
8.580000000000125e-05,0
8.590000000000125e-05,0
8.600000000000125e-05,1
8.610000000000125e-05,1
8.620000000000126e-05,1
8.630000000000126e-05,1
8.640000000000126e-05,1
8.650000000000126e-05,0
8.660000000000126e-05,0
8.670000000000127e-05,0
8.680000000000127e-05,0
8.690000000000127e-05,0
8.700000000000127e-05,1
8.710000000000128e-05,1
8.720000000000128e-05,1
8.730000000000128e-05,1
8.740000000000128e-05,1
8.750000000000129e-05,0
8.760000000000129e-05,0
8.770000000000129e-05,0
8.78000000000013e-05,0
8.79000000000013e-05,0
8.80000000000013e-05,1
8.81000000000013e-05,1
8.82000000000013e-05,1
8.83000000000013e-05,1
8.840000000000131e-05,1
8.850000000000131e-05,0
8.860000000000131e-05,0
8.870000000000132e-05,0
8.880000000000132e-05,0
8.890000000000132e-05,0
8.900000000000132e-05,1
8.910000000000133e-05,1
8.920000000000133e-05,1
8.930000000000133e-05,1
8.940000000000133e-05,1
8.950000000000134e-05,0
8.960000000000134e-05,0
8.970000000000134e-05,0
8.980000000000134e-05,0
8.990000000000134e-05,0
9.000000000000135e-05,1
9.010000000000135e-05,1
9.020000000000135e-05,1
9.030000000000135e-05,1
9.040000000000136e-05,1
9.050000000000136e-05,0
9.060000000000136e-05,0
9.070000000000136e-05,0
9.080000000000137e-05,0
9.090000000000137e-05,0
9.100000000000137e-05,1
9.110000000000137e-05,1
9.120000000000138e-05,1
9.130000000000138e-05,1
9.140000000000138e-05,1
9.150000000000138e-05,0
9.160000000000139e-05,0
9.170000000000139e-05,0
9.180000000000139e-05,0
9.19000000000014e-05,0
9.20000000000014e-05,1
9.21000000000014e-05,1
9.22000000000014e-05,1
9.23000000000014e-05,1
9.24000000000014e-05,1
9.250000000000141e-05,0
9.260000000000141e-05,0
9.270000000000141e-05,0
9.280000000000142e-05,0
9.290000000000142e-05,0
9.300000000000142e-05,1
9.310000000000142e-05,1
9.320000000000143e-05,1
9.330000000000143e-05,1
9.340000000000143e-05,1
9.350000000000143e-05,0
9.360000000000143e-05,0
9.370000000000144e-05,0
9.380000000000144e-05,0
9.390000000000144e-05,0
9.400000000000144e-05,1
9.410000000000145e-05,1
9.420000000000145e-05,1
9.430000000000145e-05,1
9.440000000000145e-05,1
9.450000000000146e-05,0
9.460000000000146e-05,0
9.470000000000146e-05,0
9.480000000000146e-05,0
9.490000000000147e-05,0
